Unnamed: 0,utt_id,EDA,filename,session_number,speaker,start,end,utterance,original_order,file_name_base
25,14,sv,Ses01M_impro07,1,F,76.59,87.8575,"Okay. That would be way too much of a commute you can't do that. Especially- I know especially from--I don't know, what I was going to say, I don't know.",26,Ses01M_impro07_F014
26,11,sd,Ses01M_impro07,1,M,80.6825,83.82,Professional softball player Malibu. [LAUGHTER],27,Ses01M_impro07_M011
27,12,sd,Ses01M_impro07,1,M,87.43,90.44,From where? Huh? Well I'm from San Francisco.,28,Ses01M_impro07_M012
28,15,sd,Ses01M_impro07,1,F,88.4125,92.41,I don't know. Commuting from what Malibu that would be ridiculous.,29,Ses01M_impro07_F015
29,13,sv,Ses01M_impro07,1,M,90.92,102.61,"Oh yeah, that would be.  Well, depends on what type of car you had, though too. I guess it would be worth it. helicopter. Yeah, helicopter.  There is a helipad there, right? Yeah, exactly.",30,Ses01M_impro07_M013
30,16,qy,Ses01M_impro07,1,F,95.26,101.5,Oh yeah. He'd drop you right off at practice?,31,Ses01M_impro07_F016
31,17,qy,Ses01M_impro07,1,F,101.62,109.02,Do you--are you one of those like four a clock in the morning practices?  Is it--that's more like swimming and- --ballet and things like that.,32,Ses01M_impro07_F017
32,14,sv,Ses01M_impro07,1,M,106.5475,112.35,Yeah. I think it's in the afternoon 'cause I mean can't be too early 'cause then you can't see the ball.,33,Ses01M_impro07_M014
33,18,sd,Ses01M_impro07,1,F,111.59,116.34,They have those neon--softballs.  They're like day-glow you can see them anywhere.,34,Ses01M_impro07_F018
34,15,sd,Ses01M_impro07,1,M,115.61,125.3625,"Yeah, but no. Well, they have a night games but you know there's more like night games they're not like morning games, you know. I guess it's kind of same thing.",35,Ses01M_impro07_M015
35,19,sd,Ses01M_impro07,1,F,116.5,119.025,I'm surprised you don't know that.,36,Ses01M_impro07_F019
36,20,sv,Ses01M_impro07,1,F,121.15,125.25,Oh. That is incredible. Is it--,37,Ses01M_impro07_F020
37,21,qy,Ses01M_impro07,1,F,125.31,132.5725,"do they have a--is it a co-ed softball team?  I mean... Really? You know, I didn't even know that they have that.",38,Ses01M_impro07_F021
38,16,sd,Ses01M_impro07,1,M,127.52,131.39,No it's all boys. All boys' softball team.,39,Ses01M_impro07_M016
39,17,sv,Ses01M_impro07,1,M,131.95,134.62,They do it's--believe me it's huge.,40,Ses01M_impro07_M017
40,22,qw,Ses01M_impro07,1,F,132.86,138.12,Who do you play? Like do--are you like... nationally ranked?,41,Ses01M_impro07_F022
41,18,sd,Ses01M_impro07,1,M,135.305,141.01,I just got into it. I just kind of fell into it. Literally I was walking around and...,42,Ses01M_impro07_M018
42,23,sd,Ses01M_impro07,1,F,139.07,141.8,That is unbelievable.,43,Ses01M_impro07_F023
43,19,sd,Ses01M_impro07,1,M,141.34,142.68,It's pretty wild.,44,Ses01M_impro07_M019
44,24,sd,Ses01M_impro07,1,F,141.99,144.485,I would put that right up there with--ping-pong.,45,Ses01M_impro07_F024
45,20,sd,Ses01M_impro07,1,M,143.98,147.84,"Yeah, well I doubt [GARBAGE] ping pong [GARBAGE]",46,Ses01M_impro07_M020
46,25,sv,Ses01M_impro07,1,F,144.66,148.265,I mean not to denigrate what you are doing.  I think that's great.,47,Ses01M_impro07_F025
47,21,qy,Ses01M_impro07,1,M,147.91,150.1225,Oh you mean it's not really sport that what you're saying?,48,Ses01M_impro07_M021
48,26,sd,Ses01M_impro07,1,F,149.71,154.92,"No, no.  I love softball. I played softball all the time.",49,Ses01M_impro07_F026
49,22,qw,Ses01M_impro07,1,M,150.7925,153.8,It's totally a sport. What are you talking about?,50,Ses01M_impro07_M022
50,23,sd,Ses01M_impro07,1,M,153.86,159.14,"What, just 'cause I don't play regular baseball doesn't mean I'm like any less of like a sports guy.",51,Ses01M_impro07_M023
51,27,sv,Ses01M_impro07,1,F,156.18,167.8,I am not saying you should be. I'm not no. I think it's great I think you should be incredibly proud yourself especially because you're going to U.S.C for free for doing it. For free.,52,Ses01M_impro07_F027
52,24,sd,Ses01M_impro07,1,M,165.1825,169.6425,For free that's really what it's about. I mean who cares I mean if I have to play softball all the time?,53,Ses01M_impro07_M024
53,25,sd,Ses01M_impro07,1,M,169.7275,172.34,But they got to like drive around in a bus--that would suck.,54,Ses01M_impro07_M025
54,28,qy,Ses01M_impro07,1,F,171.73,174.2,Oh really? With the whole team?,55,Ses01M_impro07_F028
55,26,sd,Ses01M_impro07,1,M,172.46,175.3625,Yeah we have like away games and stuff.,56,Ses01M_impro07_M026
56,29,xx,Ses01M_impro07,1,F,174.93,180.91,What are your teammates like? I'm sure you don't know yet? What kind of people play softball?,57,Ses01M_impro07_F029
57,27,sv,Ses01M_impro07,1,M,177.26,178.75,They're nice.,58,Ses01M_impro07_M027
58,28,sv,Ses01M_impro07,1,M,179.94,185.3475,"Like, you know like police officers, like--kind of heavyset guys. Mustaches, yeah. It's that kind of-",59,Ses01M_impro07_M028
59,30,bh,Ses01M_impro07,1,F,183.02,184.72,Oh really?,60,Ses01M_impro07_F030
60,31,sv,Ses01M_impro07,1,F,185.4225,188.8425,Cool. You don't seem like you'd fit in there.,61,Ses01M_impro07_F031
61,29,sd,Ses01M_impro07,1,M,185.78,191.52,That kind of...They're okay.  No I'm like- I'm kind of like the odd man out I'm like...,62,Ses01M_impro07_M029
62,32,b,Ses01M_impro07,1,F,191.05,192.2475,"Oh, cool.",63,Ses01M_impro07_F032
63,30,sd,Ses01M_impro07,1,M,192.22,194.25,But you know I'm like [GARBAGE].,64,Ses01M_impro07_M030
64,33,qy^d,Ses01M_impro07,1,F,192.7,195.05,You're like the rookie? The new kid.,65,Ses01M_impro07_F033
65,31,ny,Ses01M_impro07,1,M,194.77,196.02,Yeah.,66,Ses01M_impro07_M031
66,34,sv,Ses01M_impro07,1,F,195.17,205.4775,Just watch in five years you'll be like on the force. You carry around donuts in your back pocket... [LAUGHTER],67,Ses01M_impro07_F034
67,32,sd,Ses01M_impro07,1,M,196.38,199.86,I'm going to have a mustache...On the force...,68,Ses01M_impro07_M032
68,33,xx,Ses01M_impro07,1,M,204.81,206.6,Pull over..,69,Ses01M_impro07_M033
69,0,xx,Ses01F_impro01,1,F,6.2901,8.2357,Excuse me.,0,Ses01F_impro01_F000
70,0,qy,Ses01F_impro01,1,M,7.5712,10.475,Do you have your forms?,1,Ses01F_impro01_M000
71,1,ny,Ses01F_impro01,1,F,10.01,11.3925,Yeah.,2,Ses01F_impro01_F001
72,1,ad,Ses01F_impro01,1,M,10.9266,14.6649,Let me see them.,3,Ses01F_impro01_M001
73,2,qy,Ses01F_impro01,1,F,14.8872,18.0175,Is there a problem?,4,Ses01F_impro01_F002
74,2,qw,Ses01F_impro01,1,M,16.8352,19.7175,Who told you to get in this line?,5,Ses01F_impro01_M002
75,3,xx,Ses01F_impro01,1,F,19.29,20.7875,You did.,6,Ses01F_impro01_F003
76,4,sd,Ses01F_impro01,1,F,21.3257,24.74,You were standing at the beginning and you directed me.,7,Ses01F_impro01_F004
77,3,sd,Ses01F_impro01,1,M,23.47,28.03,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,8,Ses01F_impro01_M003
78,5,qw,Ses01F_impro01,1,F,27.46,31.49,Well what's the problem?  Let me change it.,9,Ses01F_impro01_F005
79,4,sd,Ses01F_impro01,1,M,28.395,31.2117,This form is a Z.X.four.,10,Ses01F_impro01_M004
80,5,sd,Ses01F_impro01,1,M,31.266,39.3875,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",11,Ses01F_impro01_M005
81,6,sd,Ses01F_impro01,1,F,38.965,43.59,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,12,Ses01F_impro01_F006
82,6,sd,Ses01F_impro01,1,M,41.23,46.98,No. I need another set of ID to prove this is actually you.,13,Ses01F_impro01_M006
83,7,xx,Ses01F_impro01,1,F,46.58,52.19,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,14,Ses01F_impro01_F007
84,7,sd,Ses01F_impro01,1,M,51.4,57.64,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,15,Ses01F_impro01_M007
85,8,sd,Ses01F_impro01,1,F,56.16,58.8225,I'm here to get an ID.,16,Ses01F_impro01_F008
86,8,sd,Ses01F_impro01,1,M,58.18,62.59,"No.  I need another ID, a separate one.",17,Ses01F_impro01_M008
87,9,qw,Ses01F_impro01,1,F,61.87,65.97,Like what?  Like a birth certificate?,18,Ses01F_impro01_F009
88,9,qy,Ses01F_impro01,1,M,65.51,73.0,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",19,Ses01F_impro01_M009
89,10,qw,Ses01F_impro01,1,F,66.42,69.34,Who the hell has a birth certificate?,20,Ses01F_impro01_F010
90,11,sd,Ses01F_impro01,1,F,72.45,82.26,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",21,Ses01F_impro01_F011
91,10,sd,Ses01F_impro01,1,M,81.59,86.03,"Yeah.  We keep it on file, but we need an ID to access that file.",22,Ses01F_impro01_M010
92,12,sd,Ses01F_impro01,1,F,85.27,88.02,That's out of control.,23,Ses01F_impro01_F012
93,11,sv,Ses01F_impro01,1,M,87.15,94.39,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,24,Ses01F_impro01_M011
94,13,qw,Ses01F_impro01,1,F,93.67,97.0218,How long have you been working here?,25,Ses01F_impro01_F013
95,12,sd,Ses01F_impro01,1,M,95.86,98.68,Actually too long.,26,Ses01F_impro01_M012
96,14,qy,Ses01F_impro01,1,F,97.89,102.96,"Clearly.  You know, do you have like a supervisor or something?",27,Ses01F_impro01_F014
97,13,qy,Ses01F_impro01,1,M,101.84,107.87,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,28,Ses01F_impro01_M013
98,15,sd,Ses01F_impro01,1,F,103.97,106.71,That would - I would appreciate that.  Yeah.,29,Ses01F_impro01_F015
99,0,sd,Ses01M_script01_3,1,F,8.2904,11.9425,The only one I know still love his parents.,0,Ses01M_script01_3_F000
100,0,qy,Ses01M_script01_3,1,M,11.86,15.1286,"Yeah, that kind of went out of style didn't it?",1,Ses01M_script01_3_M000
101,1,sv,Ses01M_script01_3,1,F,14.5812,20.04,Oh it's not bad thing it's good thing.,2,Ses01M_script01_3_F001
102,2,sv,Ses01M_script01_3,1,F,20.7769,27.6,"You know it's nice here, the air is sweet.",3,Ses01M_script01_3_F002
103,1,qy,Ses01M_script01_3,1,M,28.1,30.585,You're not sorry you came?,4,Ses01M_script01_3_M001
104,3,sd,Ses01M_script01_3,1,F,30.15,38.2445,"Not sorry, no.  I can't stay here.",5,Ses01M_script01_3_F003
105,2,qw,Ses01M_script01_3,1,M,38.46,41.3299,Why not?,6,Ses01M_script01_3_M002
106,4,sd,Ses01M_script01_3,1,F,40.81,44.5425,For one thing your mother as much as told me to go.,7,Ses01M_script01_3_F004
107,3,b,Ses01M_script01_3,1,M,44.17,46.065,Well.,8,Ses01M_script01_3_M003
108,5,sv,Ses01M_script01_3,1,F,45.75,51.2332,[BREATHING] And then you've been kind of...,9,Ses01M_script01_3_F005
109,4,br,Ses01M_script01_3,1,M,51.059,53.27,What?,10,Ses01M_script01_3_M004
110,6,sd,Ses01M_script01_3,1,F,53.77,59.22,You've been kind of embarrassed ever since I got here.,11,Ses01M_script01_3_F006
111,5,sd,Ses01M_script01_3,1,M,63.71,77.5575,"I was kind of planning on sneaking up on you, you know over like a course of a week or so. They just take for granted that we're already set.",12,Ses01M_script01_3_M005
112,7,sd,Ses01M_script01_3,1,F,76.82,80.32,"I knew they would, your mother anyway.",13,Ses01M_script01_3_F007
113,6,qy,Ses01M_script01_3,1,M,79.41,81.1172,You did?,14,Ses01M_script01_3_M006
114,8,qw,Ses01M_script01_3,1,F,80.64,85.28,From her point of view why else would I come?,15,Ses01M_script01_3_F008
115,7,xx,Ses01M_script01_3,1,M,85.7,88.358,Yeah--,16,Ses01M_script01_3_M007
116,8,sv,Ses01M_script01_3,1,M,88.72,102.15,"So then would you want to?  I mean I guess, you kind of have to know, maybe that's why I asked you to come.",17,Ses01M_script01_3_M008
117,9,sd,Ses01M_script01_3,1,F,104.15,109.63,Well I guess that's why I came.,18,Ses01M_script01_3_F009
118,9,sd,Ses01M_script01_3,1,M,111.9467,120.1828,"Ann, I love you.  I love you.",19,Ses01M_script01_3_M009
119,10,sd,Ses01M_script01_3,1,M,122.3,126.075,I love you a great deal.,20,Ses01M_script01_3_M010
120,11,sd,Ses01M_script01_3,1,M,126.59,130.94,I'm sorry I don't really have much of an imagination.,21,Ses01M_script01_3_M011
121,10,sd,Ses01M_script01_3,1,F,148.7,150.8,"Chris,",22,Ses01M_script01_3_F010
122,12,xx,Ses01M_script01_3,1,M,132.78,147.95,"I'm sorry I'm embarrassing you, aren't I?  See, I didn't want to do it here I didn't on this porch, with this ring--I didn't want to win you away from anything.",24,Ses01M_script01_3_M012
123,11,sd,Ses01M_script01_3,1,F,150.83,154.14,"I've been ready a long, long time.",25,Ses01M_script01_3_F011
124,13,xx,Ses01M_script01_3,1,M,156.22,161.5,So then he's gone.  You sure?,26,Ses01M_script01_3_M013
125,12,sd,Ses01M_script01_3,1,F,161.93,165.3,I almost got married two years ago.,27,Ses01M_script01_3_F012
126,14,qw,Ses01M_script01_3,1,M,165.6682,167.93,Why didn't you?,28,Ses01M_script01_3_M014
127,13,sd,Ses01M_script01_3,1,F,167.8525,170.49,You started to write me.,29,Ses01M_script01_3_F013
128,15,qy,Ses01M_script01_3,1,M,171.1174,174.59,You felt something that far back?,30,Ses01M_script01_3_M015
129,14,sd,Ses01M_script01_3,1,F,173.63,175.63,Everyday since.,31,Ses01M_script01_3_F014
130,16,qw,Ses01M_script01_3,1,M,175.33,178.07,why didn't you let me know?,32,Ses01M_script01_3_M016
131,15,sd,Ses01M_script01_3,1,F,177.13,185.63,"Because I was waiting for you, Chris.  Till then you never wrote me and then when you did, well, you sure can be ambiguous you know.",33,Ses01M_script01_3_F015
132,17,ad,Ses01M_script01_3,1,M,184.65,194.6563,"Oh Annie, why don't you go ahead and give me a kiss, come on just a...",34,Ses01M_script01_3_M017
133,18,sd,Ses01M_script01_3,1,M,197.0,201.86,I kissed you.  I kissed Annie.,35,Ses01M_script01_3_M018
134,16,sd,Ses01M_script01_3,1,F,200.94,207.645,I'll never forgive you for waiting so long.  All I did was sit around and wonder if I was crazy for thinking about you.,36,Ses01M_script01_3_F016
135,19,sd,Ses01M_script01_3,1,M,207.18,210.04,I kissed you.,37,Ses01M_script01_3_M019
136,17,sd,Ses01M_script01_3,1,F,215.88,221.43,"Like Larry's brother.  Do what like you, Chris.",38,Ses01M_script01_3_F017
137,18,qw,Ses01M_script01_3,1,F,225.02,227.3023,"Chris, what's the matter?",39,Ses01M_script01_3_F018
138,20,qy,Ses01M_script01_3,1,M,228.28,232.23,Do you want to go somewhere?  Let's go.,40,Ses01M_script01_3_M020
139,19,qw,Ses01M_script01_3,1,F,231.36,235.205,"No, what is it?  Is your mother?",41,Ses01M_script01_3_F019
140,21,sd,Ses01M_script01_3,1,M,234.59,238.48,"No, no, it's nothing like that.",42,Ses01M_script01_3_M021
141,20,sv,Ses01M_script01_3,1,F,236.99,243.44,"Well, then what?  You know, even in your letter you seem kind of ashamed.",43,Ses01M_script01_3_F020
142,22,sd,Ses01M_script01_3,1,M,244.14,252.92,I don't know it's--it's complicated. But it's going from me now.,44,Ses01M_script01_3_M022
143,21,sd,Ses01M_script01_3,1,F,253.41,256.4398,You got to tell me.,46,Ses01M_script01_3_F021
144,23,h,Ses01M_script01_3,1,M,256.1412,259.1271,I don't know.,47,Ses01M_script01_3_M023
145,24,sv,Ses01M_script01_3,1,M,259.351,263.97,It's kind of all mixed up with all these other things.,49,Ses01M_script01_3_M024
146,22,xx,Ses01M_script01_3,1,F,265.5717,269.08,Wouldn't work like this.,50,Ses01M_script01_3_F022
147,25,qy,Ses01M_script01_3,1,M,272.34,277.8637,you know over seas I was in command of the company?,51,Ses01M_script01_3_M025
148,23,ny,Ses01M_script01_3,1,F,277.23,279.39,"Yeah, sure.",52,Ses01M_script01_3_F023
149,26,sd,Ses01M_script01_3,1,M,281.14,283.91,Well I lost them.,53,Ses01M_script01_3_M026
150,24,qw,Ses01M_script01_3,1,F,285.51,288.34,How many?,54,Ses01M_script01_3_F024
151,27,sd,Ses01M_script01_3,1,M,288.18,291.03,Pretty much all.,55,Ses01M_script01_3_M027
152,25,ba,Ses01M_script01_3,1,F,290.5787,293.79,[BREATHING]. Geez.,56,Ses01M_script01_3_F025
153,28,sv,Ses01M_script01_3,1,M,293.6392,307.49,"Takes awhile to toss something like that off.  I mean they weren't just men, you know.",57,Ses01M_script01_3_M028
154,29,sd,Ses01M_script01_3,1,M,307.7375,320.03,"For instance, there was this one time when this kid--it had been raining for like several days and he gave me his last pair of dry socks.",58,Ses01M_script01_3_M029
155,30,sd,Ses01M_script01_3,1,M,320.1175,326.5,He just put it in my pocket that's the kind of guys I had.,59,Ses01M_script01_3_M030
156,31,sd,Ses01M_script01_3,1,M,327.37,337.86,"They didn't die they killed themselves for each other and I mean that exactly, you know a little more selfish and they'll all be here today...",60,Ses01M_script01_3_M031
157,32,sd,Ses01M_script01_3,1,M,339.871,363.73,"And I had this idea as I was watching them go down like everything was being destroyed, you know.  But I felt like this one new thing was being made, you know it's kind of like this.  This monument...",61,Ses01M_script01_3_M032
158,33,sv,Ses01M_script01_3,1,M,363.865,373.32,"You know, that they were bringing something on to this earth, a kind of sacrifice you know.",62,Ses01M_script01_3_M033
159,34,sd,Ses01M_script01_3,1,M,374.5675,388.8175,"I thought I would change everything you know, and I got back here and it was- it was like nothing had changed at all...",63,Ses01M_script01_3_M034
160,35,sd,Ses01M_script01_3,1,M,389.0888,397.095,You know.  I went to work with dad and I started that whole rat race again...,64,Ses01M_script01_3_M035
161,36,sd,Ses01M_script01_3,1,M,397.3498,405.69,And no one had changed it was just like sort of random bus accident to them.,65,Ses01M_script01_3_M036
162,37,sd,Ses01M_script01_3,1,M,406.2,414.26,Driving my new car and I felt guilty you know opening my bank book seeing a new refrigerator.,66,Ses01M_script01_3_M037
163,38,sv,Ses01M_script01_3,1,M,417.29,430.76,'Cause you can take those things out of a war.  But you have to realize that those things came out of the love that a man can have for another man...,67,Ses01M_script01_3_M038
164,39,sv,Ses01M_script01_3,1,M,431.0408,439.07,And if you can't see that then it's just loot and there's blood all over it.,68,Ses01M_script01_3_M039
165,40,sd,Ses01M_script01_3,1,M,439.48,449.91,I felt ashamed and I didn't want any part of it.  I guess I included you too.,69,Ses01M_script01_3_M040
166,26,qy,Ses01M_script01_3,1,F,455.26,458.74,Do you still feel that way?,70,Ses01M_script01_3_F026
167,41,sd,Ses01M_script01_3,1,M,460.4,463.85,I want you to know Annie.,71,Ses01M_script01_3_M041
168,27,sv,Ses01M_script01_3,1,F,464.0599,472.87,"'Cause you mustn't feel that way.  Everything you have, you have a right to...",72,Ses01M_script01_3_F027
169,28,qy,Ses01M_script01_3,1,F,473.5225,480.15,Everything Chris do you understand that?  To me too...,73,Ses01M_script01_3_F028
170,29,sv,Ses01M_script01_3,1,F,481.65,495.67,And your money there's nothing wrong in your money.  Your father put hundreds of planes into the air.  You should be proud of that a man should be paid for that.,74,Ses01M_script01_3_F029
171,42,sd,Ses01M_script01_3,1,M,499.46,502.27,Annie...,75,Ses01M_script01_3_M042
172,43,sd,Ses01M_script01_3,1,M,507.77,511.4612,I'm going to make a fortune for you.,76,Ses01M_script01_3_M043
173,30,qw,Ses01M_script01_3,1,F,510.69,513.8625,What would I do with a fortune?,77,Ses01M_script01_3_F030
174,0,sd,Ses01F_script02_2,1,M,3.17,6.2675,"Look at this, all of the hairs are standing up on my arm.",0,Ses01F_script02_2_M000
175,0,sd,Ses01F_script02_2,1,F,5.83,8.3081,That's the wind.,1,Ses01F_script02_2_F000
176,1,qw,Ses01F_script02_2,1,M,7.78,10.22,"Well, so, what do you think?",2,Ses01F_script02_2_M001
177,1,qw,Ses01F_script02_2,1,F,9.58,11.4525,About what?,3,Ses01F_script02_2_F001
178,2,sd,Ses01F_script02_2,1,M,10.99,13.4131,About what I was saying.,4,Ses01F_script02_2_M002
179,2,sv,Ses01F_script02_2,1,F,13.2797,17.05,I think it's ridiculous.,5,Ses01F_script02_2_F002
180,3,sv,Ses01F_script02_2,1,M,16.41,22.26,It certainly is not.  It's slightly exaggerated scientific fact.,6,Ses01F_script02_2_M003
181,3,sv,Ses01F_script02_2,1,F,21.83,29.71,It's PR! Somebody sold you a bunch of crap that there is this wonderful thing that is going to happen tonight on the beach.,7,Ses01F_script02_2_F003
182,4,sv,Ses01F_script02_2,1,M,28.94,31.66,"Not just me, look at all of these people.",8,Ses01F_script02_2_M004
183,4,sd,Ses01F_script02_2,1,F,31.21,43.4739,"Everybody's told the same story.  It keeps us coming back for more, it keeps us excited.  We keep thinking that life is going start at any minute if we can just find the right spot, get in on the action.",9,Ses01F_script02_2_F004
184,5,qy,Ses01F_script02_2,1,M,42.7835,45.9825,"Are we talking about the same thing, here?",10,Ses01F_script02_2_M005
185,5,sd,Ses01F_script02_2,1,F,45.42,49.0894,"I'm sorry, it's just fish to me.",11,Ses01F_script02_2_F005
186,6,qy,Ses01F_script02_2,1,M,49.2,56.09,"Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?",12,Ses01F_script02_2_M006
187,6,xx,Ses01F_script02_2,1,F,55.67,61.96,"Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting.",13,Ses01F_script02_2_F006
188,7,qw,Ses01F_script02_2,1,M,61.28,63.57,"Well then, what's bugging you?",14,Ses01F_script02_2_M007
189,7,sd,Ses01F_script02_2,1,F,63.15,68.86,We just have different ideas of what this night is supposed to look like.,15,Ses01F_script02_2_F007
190,8,sd,Ses01F_script02_2,1,M,68.34,77.88,"There is nothing to it; we come down here, the fish arrive, they flop around, they do their fish thing.  We go ooh, ah, look at the fish and we go home.",16,Ses01F_script02_2_M008
191,8,sd,Ses01F_script02_2,1,F,75.66,81.6545,"For God- Grow up, Augie.  The fish are not going to arrive.",17,Ses01F_script02_2_F008
192,9,qw,Ses01F_script02_2,1,M,81.15,82.7975,Why not?,18,Ses01F_script02_2_M009
193,9,qy,Ses01F_script02_2,1,F,82.34,86.54,Because they never do.  Have they...Have they ever?,19,Ses01F_script02_2_F009
194,10,sd,Ses01F_script02_2,1,M,86.15,88.43,We've missed them twice.,20,Ses01F_script02_2_M010
195,10,sd,Ses01F_script02_2,1,F,87.71,91.3205,Twice is every time we have tried; that's ever.,21,Ses01F_script02_2_F010
196,11,sd,Ses01F_script02_2,1,M,91.5046,94.8877,They'll show up this time.,22,Ses01F_script02_2_M011
197,11,sd,Ses01F_script02_2,1,F,94.5325,98.8125,No they won't.  It's like waiting for Santa Claus.,23,Ses01F_script02_2_F011
198,12,sd,Ses01F_script02_2,1,F,98.845,111.65,I feel like my whole life is going to be spent standing on this beach with my eyes wide open and my hands clasped expectantly waiting for fish to show up.  And the fish never show up.,24,Ses01F_script02_2_F012
199,12,sd,Ses01F_script02_2,1,M,110.85,113.94,I thought you wanted to see it.,25,Ses01F_script02_2_M012
200,13,sd,Ses01F_script02_2,1,F,113.39,115.78,You don't understand anything I am saying.,26,Ses01F_script02_2_F013
201,13,aa,Ses01F_script02_2,1,M,115.03,117.2346,No. Of course not.,27,Ses01F_script02_2_M013
202,14,sd,Ses01F_script02_2,1,F,116.9814,124.0468,"I did want to see it, I still do, I always do.  I just...",28,Ses01F_script02_2_F014
203,15,sd,Ses01F_script02_2,1,F,124.0928,134.59,"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is.",29,Ses01F_script02_2_F015
204,14,sd,Ses01F_script02_2,1,M,133.66,136.7425,"It's just fish, it's nothing to get traumatized over.",30,Ses01F_script02_2_M014
205,16,sv,Ses01F_script02_2,1,F,136.16,139.33,"For God's sake, this is not about fish.",31,Ses01F_script02_2_F016
206,15,sd,Ses01F_script02_2,1,M,138.62,144.145,Okay.  I'm trying to work this backwards and pinpoint the exact moment where we took a turn for the worst here.,32,Ses01F_script02_2_M015
